FILE NAME,REQUIRED BINS,EXTRA BINS,TIME TAKEN(ms)
N1C1W1_A.BPP,29,4,0.0
N1C1W1_B.BPP,34,3,0.9644031524658203
N1C1W1_C.BPP,25,5,0.0
N1C1W1_D.BPP,31,3,1.0106563568115234
N1C1W1_E.BPP,30,4,0.0
N1C1W1_F.BPP,31,4,0.0
N1C1W1_G.BPP,29,4,0.9808540344238281
N1C1W1_H.BPP,34,3,0.0
N1C1W1_I.BPP,30,5,0.0
N1C1W1_J.BPP,31,5,0.0
N1C1W1_K.BPP,30,4,0.0
N1C1W1_L.BPP,37,4,0.9963512420654297
N1C1W1_M.BPP,33,3,0.0
N1C1W1_N.BPP,29,4,0.0
N1C1W1_O.BPP,36,4,0.0
N1C1W1_P.BPP,31,5,0.0
N1C1W1_Q.BPP,34,6,1.0051727294921875
N1C1W1_R.BPP,30,5,0.9889602661132812
N1C1W1_S.BPP,32,4,0.0
N1C1W1_T.BPP,33,5,0.0
N1C1W2_A.BPP,35,6,3.029346466064453
N1C1W2_B.BPP,35,5,0.0
N1C1W2_C.BPP,37,4,0.0
N1C1W2_D.BPP,36,5,0.0
N1C1W2_E.BPP,39,3,0.0
N1C1W2_F.BPP,34,4,1.0068416595458984
N1C1W2_G.BPP,36,6,0.0
N1C1W2_H.BPP,37,4,1.0020732879638672
N1C1W2_I.BPP,39,4,0.0
N1C1W2_J.BPP,38,4,0.0
N1C1W2_K.BPP,38,3,0.9791851043701172
N1C1W2_L.BPP,36,5,0.0
N1C1W2_M.BPP,36,6,0.0
N1C1W2_N.BPP,38,5,0.0
N1C1W2_O.BPP,35,6,0.0
N1C1W2_P.BPP,38,5,0.0
N1C1W2_Q.BPP,41,5,0.0
N1C1W2_R.BPP,38,4,0.0
N1C1W2_S.BPP,40,3,0.0
N1C1W2_T.BPP,40,2,1.0251998901367188
N1C1W4_A.BPP,40,5,0.0
N1C1W4_B.BPP,40,0,0.0
N1C1W4_C.BPP,41,5,0.0
N1C1W4_D.BPP,42,4,0.0
N1C1W4_E.BPP,42,4,0.9965896606445312
N1C1W4_F.BPP,37,5,0.0
N1C1W4_G.BPP,40,3,0.0
N1C1W4_H.BPP,43,3,0.9958744049072266
N1C1W4_I.BPP,41,6,0.0
N1C1W4_J.BPP,41,4,0.0
N1C1W4_K.BPP,44,3,0.0
N1C1W4_L.BPP,40,5,0.0
N1C1W4_M.BPP,43,2,0.9763240814208984
N1C1W4_N.BPP,42,3,0.0
N1C1W4_O.BPP,39,5,0.0
N1C1W4_P.BPP,42,4,0.9987354278564453
N1C1W4_Q.BPP,39,5,0.0
N1C1W4_R.BPP,41,3,0.0
N1C1W4_S.BPP,39,3,0.9992122650146484
N1C1W4_T.BPP,44,2,0.0
N1C2W1_A.BPP,27,6,0.0
N1C2W1_B.BPP,30,4,0.9968280792236328
N1C2W1_C.BPP,28,5,1.0099411010742188
N1C2W1_D.BPP,27,6,0.0
N1C2W1_E.BPP,22,5,0.0
N1C2W1_F.BPP,27,5,3.0143260955810547
N1C2W1_G.BPP,25,4,0.9741783142089844
N1C2W1_H.BPP,29,6,0.0
N1C2W1_I.BPP,34,7,0.0
N1C2W1_J.BPP,33,6,0.9987354278564453
N1C2W1_K.BPP,31,7,0.0
N1C2W1_L.BPP,31,6,0.0
N1C2W1_M.BPP,32,6,0.0
N1C2W1_N.BPP,27,6,0.0
N1C2W1_O.BPP,18,3,0.0
N1C2W1_P.BPP,27,6,0.0
N1C2W1_Q.BPP,28,4,1.0216236114501953
N1C2W1_R.BPP,28,5,0.9770393371582031
N1C2W1_S.BPP,28,6,1.004934310913086
N1C2W1_T.BPP,30,8,0.0
N1C2W2_A.BPP,31,7,0.0
N1C2W2_B.BPP,35,8,0.0
N1C2W2_C.BPP,36,7,0.9768009185791016
N1C2W2_D.BPP,31,7,0.0
N1C2W2_E.BPP,37,4,0.0
N1C2W2_F.BPP,32,6,0.9989738464355469
N1C2W2_G.BPP,35,6,0.9968280792236328
N1C2W2_H.BPP,30,7,0.0
N1C2W2_I.BPP,33,8,0.0
N1C2W2_J.BPP,31,6,0.9968280792236328
N1C2W2_K.BPP,37,8,0.0
N1C2W2_L.BPP,35,5,0.0
N1C2W2_M.BPP,35,5,0.0
N1C2W2_N.BPP,34,8,0.0
N1C2W2_O.BPP,36,7,0.0
N1C2W2_P.BPP,30,7,0.988006591796875
N1C2W2_Q.BPP,36,6,0.9810924530029297
N1C2W2_R.BPP,33,8,0.0
N1C2W2_S.BPP,31,7,0.0
N1C2W2_T.BPP,34,8,0.0
N1C2W4_A.BPP,34,5,0.0
N1C2W4_B.BPP,37,5,1.0044574737548828
N1C2W4_C.BPP,36,6,0.0
N1C2W4_D.BPP,34,6,2.020120620727539
N1C2W4_E.BPP,36,6,0.0
N1C2W4_F.BPP,38,6,0.0
N1C2W4_G.BPP,36,6,1.0006427764892578
N1C2W4_H.BPP,37,7,0.0
N1C2W4_I.BPP,39,4,0.0
N1C2W4_J.BPP,38,8,0.0
N1C2W4_K.BPP,38,6,0.9984970092773438
N1C2W4_L.BPP,37,6,0.0
N1C2W4_M.BPP,37,6,1.0061264038085938
N1C2W4_N.BPP,37,5,0.0
N1C2W4_O.BPP,37,7,0.0
N1C2W4_P.BPP,33,5,0.0
N1C2W4_Q.BPP,39,6,0.9825229644775391
N1C2W4_R.BPP,40,5,0.0
N1C2W4_S.BPP,42,4,0.0
N1C2W4_T.BPP,34,5,0.0
N1C3W1_A.BPP,22,6,0.9765625
N1C3W1_B.BPP,21,5,0.0
N1C3W1_C.BPP,23,6,0.0
N1C3W1_D.BPP,25,6,0.9963512420654297
N1C3W1_E.BPP,21,5,0.0
N1C3W1_F.BPP,28,8,0.0
N1C3W1_G.BPP,19,4,0.0
N1C3W1_H.BPP,26,7,0.0
N1C3W1_I.BPP,21,4,0.9975433349609375
N1C3W1_J.BPP,21,5,0.0
N1C3W1_K.BPP,21,4,0.0
N1C3W1_L.BPP,23,6,0.0
N1C3W1_M.BPP,22,5,0.0
N1C3W1_N.BPP,27,7,0.9684562683105469
N1C3W1_O.BPP,22,6,0.0
N1C3W1_P.BPP,25,6,0.9977817535400391
N1C3W1_Q.BPP,28,8,1.0192394256591797
N1C3W1_R.BPP,27,6,2.0182132720947266
N1C3W1_S.BPP,20,4,0.0
N1C3W1_T.BPP,24,6,0.0
N1C3W2_A.BPP,25,6,0.9737014770507812
N1C3W2_B.BPP,27,7,0.0
